aX,aY,aZ,gX,gY,gZ
0.226,0.428,0.455,15.564,-68.359,7.019
0.260,0.444,0.468,-5.737,-66.284,6.592
"",,,,,
0.749,0.830,0.977,-13.123,-117.249,16.846
0.721,0.789,1.020,13.123,-116.272,17.090
0.719,0.741,1.040,34.607,-118.408,18.494
0.735,0.678,1.023,50.903,-123.779,20.691
0.732,0.643,0.995,60.669,-130.188,22.095
0.678,0.615,0.977,70.557,-135.681,24.231
0.737,0.545,0.898,89.172,-139.709,26.428
0.819,0.493,0.793,98.877,-143.433,23.926
0.844,0.461,0.716,96.069,-145.020,18.860
0.826,0.422,0.698,84.229,-144.226,13.733
0.834,0.399,0.736,74.646,-142.151,9.766
0.843,0.342,0.747,68.665,-139.282,6.226
0.855,0.274,0.749,64.392,-137.512,0.732
0.838,0.242,0.732,59.814,-136.536,-6.470
0.785,0.212,0.693,54.199,-134.644,-13.184
0.742,0.189,0.657,47.363,-131.348,-18.433
0.714,0.160,0.610,36.011,-127.747,-22.095
0.725,0.152,0.547,21.179,-123.047,-23.926
0.739,0.188,0.487,-1.221,-117.310,-25.330
0.743,0.239,0.479,-24.658,-109.802,-25.940
0.744,0.308,0.480,-37.720,-98.999,-25.146
0.709,0.306,0.530,-40.466,-85.327,-23.804
0.666,0.280,0.564,-38.696,-71.289,-22.095
0.613,0.235,0.588,-38.208,-59.509,-20.996
0.560,0.207,0.608,-37.720,-51.086,-20.325
0.508,0.203,0.649,-38.818,-45.166,-20.203
0.457,0.223,0.677,-38.391,-41.809,-20.325
0.413,0.264,0.677,-36.011,-40.771,-20.264
0.371,0.274,0.666,-32.959,-40.771,-18.311
0.351,0.283,0.634,-31.738,-40.771,-15.137
0.335,0.289,0.593,-32.532,-40.771,-10.986
0.327,0.297,0.556,-32.959,-39.917,-6.531
0.331,0.311,0.521,-35.400,-38.269,-1.770
0.347,0.321,0.493,-37.659,-35.095,2.930
0.359,0.321,0.475,-37.903,-30.151,7.751
0.366,0.317,0.478,-38.879,-24.109,12.268
0.378,0.325,0.503,-41.016,-18.005,16.174
0.394,0.354,0.552,-45.593,-13.123,19.226
0.414,0.383,0.600,-51.392,-10.193,21.484
0.431,0.393,0.626,-55.542,-9.583,23.376
0.443,0.388,0.654,-59.143,-9.949,24.170
0.445,0.394,0.705,-62.012,-10.925,23.437
0.440,0.427,0.762,-62.927,-12.573,20.447
0.432,0.479,0.800,-62.561,-16.113,16.113
0.423,0.499,0.826,-62.195,-22.095,11.841
0.364,0.564,0.729,-62.866,-29.846,8.789
0.301,0.640,0.566,-65.979,-35.400,8.911
0.317,0.604,0.645,-66.162,-33.447,13.123
0.328,0.568,0.669,-64.270,-33.813,15.320
0.306,0.552,0.607,-62.988,-35.889,15.137
0.265,0.541,0.519,-62.378,-33.447,13.489
0.241,0.551,0.467,-62.073,-25.696,10.864
0.235,0.588,0.478,-61.523,-15.747,8.789
0.237,0.621,0.534,-59.753,-6.714,6.897
0.241,0.647,0.594,-58.777,-0.916,4.944
0.247,0.666,0.628,-58.228,1.770,2.869
0.252,0.684,0.642,-55.542,3.174,0.305
0.258,0.712,0.655,-50.110,4.639,-2.991
0.251,0.713,0.645,-42.236,6.348,-6.470
0.242,0.693,0.623,-34.546,7.629,-10.315
0.229,0.667,0.603,-30.457,9.094,-14.099
0.219,0.649,0.591,-31.494,10.376,-17.212
0.222,0.633,0.577,-35.095,11.292,-19.836
0.222,0.631,0.547,-38.879,12.268,-22.888
0.232,0.674,0.527,-44.189,15.686,-26.978
0.237,0.728,0.528,-47.363,20.874,-31.982
0.242,0.744,0.535,-44.189,24.414,-37.537
0.241,0.728,0.542,-39.368,26.306,-42.908
0.239,0.711,0.547,-37.231,27.710,-47.729
0.243,0.731,0.562,-37.598,28.442,-51.331
0.240,0.771,0.570,-37.781,28.992,-53.528
0.236,0.805,0.575,-38.025,28.809,-55.176
0.229,0.820,0.575,-37.109,27.466,-56.519
0.220,0.816,0.574,-35.339,25.757,-57.617
0.214,0.820,0.574,-33.630,23.560,-58.044
0.208,0.824,0.582,-30.884,21.423,-57.800
0.192,0.831,0.586,-27.893,19.897,-56.091
0.186,0.877,0.616,-27.527,18.738,-53.345
0.169,0.893,0.632,-26.306,17.944,-50.232
0.154,0.885,0.634,-25.818,16.479,-47.302
0.131,0.891,0.619,-28.137,13.306,-45.044
