aX,aY,aZ,gX,gY,gZ
1.335,-1.480,0.139,-356.873,318.970,104.919
1.389,-1.151,-0.188,-476.379,356.445,58.533
1.352,-0.904,-0.215,-607.300,395.447,13.672
1.231,-0.735,0.055,-665.222,424.072,-29.785
1.286,-0.423,0.582,-659.851,423.157,-72.998
1.390,-0.002,1.052,-550.232,378.967,-96.985
1.635,-0.332,1.197,-331.604,298.889,-94.543
1.643,-0.473,1.068,-140.381,216.736,-102.356
1.740,-0.395,0.856,-39.124,168.396,-119.751
1.969,-0.373,0.812,28.748,148.987,-137.756
2.041,-0.029,1.245,46.631,142.700,-142.090
1.686,0.449,1.837,10.437,128.784,-118.835
1.224,0.625,2.165,10.071,83.496,-75.073
0.959,0.185,1.760,28.687,16.113,-21.423
1.014,-0.536,0.990,-0.732,-40.222,21.545
0.991,-1.085,0.418,-29.663,-66.956,35.400
0.978,-1.809,-0.009,-25.940,-76.538,16.357
1.117,-0.914,-0.276,-21.057,-68.054,-26.917
1.135,-0.439,-0.176,-26.611,-46.448,-60.608
1.138,-0.176,-0.025,-21.301,-25.879,-69.824
1.154,-0.162,0.068,-21.851,-9.033,-69.153
1.194,-0.221,0.153,-19.836,2.869,-65.613
1.112,-0.278,0.249,-20.020,12.817,-61.707
1.080,-0.328,0.352,-22.339,19.653,-57.617
1.051,-0.275,0.428,-26.672,24.841,-53.650
1.039,-0.196,0.500,-34.119,26.428,-47.607
1.050,-0.156,0.532,-43.762,25.452,-39.307
1.027,-0.138,0.534,-51.086,21.667,-30.212
0.997,-0.118,0.497,-57.129,16.541,-20.203
0.976,-0.101,0.462,-60.913,11.902,-10.132
0.967,-0.091,0.443,-59.692,8.789,-0.977
0.973,-0.091,0.427,-55.542,6.592,8.423
0.974,-0.092,0.420,-51.453,6.836,17.212
0.980,-0.086,0.425,-47.974,7.690,25.452
1.004,-0.080,0.423,-41.077,7.446,33.325
0.980,-0.102,0.413,-25.757,6.165,41.504
0.957,-0.153,0.376,-5.127,5.371,50.842
0.962,-0.224,0.325,11.902,6.836,60.303
0.961,-0.281,0.282,18.616,11.108,69.214
0.931,-0.325,0.270,15.564,19.531,76.843
0.928,-0.365,0.297,7.568,29.297,82.703
0.953,-0.402,0.384,-2.075,39.124,85.510
0.973,-0.452,0.489,-6.958,42.725,87.036
0.965,-0.495,0.593,-7.324,41.138,86.060
0.964,-0.530,0.670,-6.653,33.447,83.008
0.964,-0.543,0.718,-7.812,21.729,78.491
0.951,-0.532,0.722,-8.606,6.653,72.205
0.937,-0.507,0.675,-8.362,-7.690,65.369
0.914,-0.484,0.597,-10.193,-20.630,58.533
0.889,-0.470,0.512,-13.733,-30.396,52.551
0.871,-0.470,0.428,-15.198,-34.729,46.814
0.865,-0.477,0.356,-13.062,-34.607,43.091
0.876,-0.503,0.311,-12.573,-31.067,41.199
0.897,-0.523,0.293,-16.968,-25.696,38.391
0.911,-0.531,0.287,-20.935,-19.531,34.363
0.900,-0.530,0.291,-23.193,-13.245,29.419
0.894,-0.520,0.296,-26.367,-6.958,24.414
0.898,-0.500,0.308,-31.433,-1.099,19.287
0.920,-0.476,0.326,-34.668,4.028,14.160
0.949,-0.448,0.358,-36.438,9.277,9.827
0.962,-0.413,0.400,-36.255,12.634,5.920
0.960,-0.368,0.433,-32.654,14.893,1.953
0.965,-0.338,0.468,-27.710,15.869,-1.587
0.979,-0.318,0.508,-24.170,13.977,-4.761
1.003,-0.304,0.539,-20.386,11.047,-8.179
1.006,-0.293,0.553,-16.418,6.714,-11.841
1.016,-0.278,0.555,-13.916,3.967,-14.771
1.000,-0.269,0.536,-11.230,-0.244,-17.151
0.978,-0.260,0.497,-10.010,-3.540,-18.799
0.970,-0.244,0.449,-14.893,-5.249,-19.531
0.981,-0.208,0.408,-25.879,-4.639,-19.653
0.990,-0.186,0.375,-38.147,-2.869,-18.677
1.009,-0.166,0.370,-50.903,1.282,-17.273
1.010,-0.159,0.395,-64.148,6.958,-14.954
0.991,-0.156,0.441,-78.003,12.207,-11.230
0.967,-0.152,0.490,-87.585,16.296,-7.385
0.945,-0.146,0.528,-91.675,16.968,-4.028
0.924,-0.159,0.552,-89.600,15.198,-1.099
0.904,-0.173,0.567,-85.571,12.146,1.587
0.876,-0.189,0.567,-81.299,9.766,4.150
0.867,-0.214,0.561,-75.500,7.507,6.104
0.865,-0.215,0.553,-71.960,4.700,6.531
0.848,-0.192,0.534,-68.298,2.380,5.310
0.786,-0.133,0.502,-65.369,1.282,4.272
0.801,-0.068,0.551,-63.049,1.404,4.761
0.799,-0.086,0.562,-40.894,4.395,6.042
0.832,-0.093,0.538,-15.137,3.479,5.005
0.856,-0.075,0.510,-8.179,0.977,3.296
0.856,-0.078,0.480,0.183,0.488,1.099
0.851,-0.074,0.465,6.348,1.160,-1.038
0.854,-0.075,0.460,7.507,1.465,-1.953
0.845,-0.081,0.473,2.625,0.977,-1.160
0.844,-0.076,0.496,-9.460,-1.282,1.099
0.859,-0.060,0.518,-23.254,-4.639,3.479
0.870,-0.041,0.534,-35.217,-9.949,6.348
0.893,-0.023,0.540,-46.753,-15.686,9.705
0.916,-0.001,0.547,-60.364,-22.217,14.648
0.924,0.017,0.551,-73.975,-27.283,19.470
0.917,0.031,0.557,-86.060,-32.288,24.536
0.931,0.040,0.553,-97.351,-36.804,29.663
0.999,0.053,0.560,-112.061,-41.443,35.156
1.052,0.067,0.583,-127.441,-45.471,41.077
1.051,0.076,0.608,-135.986,-48.523,45.776
1.061,0.084,0.625,-135.986,-50.903,48.462
1.115,0.096,0.635,-130.005,-52.002,49.561
1.136,0.096,0.642,-118.042,-51.636,48.584
1.113,0.073,0.642,-104.248,-51.697,46.692
"",,,,,
0.437,2.130,1.368,-20.691,73.975,105.103
0.812,2.509,1.482,27.710,81.665,118.774
1.248,2.606,1.515,111.755,74.402,146.118
1.648,2.389,1.462,205.627,49.744,185.120
1.904,2.012,1.286,272.583,11.108,229.187
1.907,1.511,1.048,297.119,-35.583,269.958
1.815,1.059,0.749,283.447,-85.022,299.927
1.690,0.675,0.412,238.098,-127.197,314.819
1.482,0.294,0.204,162.170,-152.954,316.284
1.161,0.016,0.107,79.285,-159.363,304.504
0.863,-0.110,0.056,19.287,-146.790,282.349
0.669,-0.172,0.071,-4.028,-118.591,256.531
0.561,-0.204,0.145,2.808,-81.604,228.271
0.537,-0.219,0.203,31.372,-44.983,196.228
0.560,-0.232,0.244,62.195,-16.357,163.757
0.609,-0.173,0.285,71.289,3.418,136.414
0.626,-0.132,0.355,59.509,15.198,114.197
0.619,-0.123,0.438,38.147,18.860,94.543
0.608,-0.021,0.438,14.099,16.602,75.500
0.570,0.017,0.448,-4.944,13.306,57.678
0.503,0.028,0.442,-14.160,13.000,39.978
0.394,0.050,0.456,-18.372,18.494,21.118
0.267,0.099,0.500,-21.606,30.396,-0.305
0.191,0.277,0.501,-18.555,46.265,-23.499
0.097,0.823,0.225,-9.033,65.247,-42.114
0.055,1.193,0.101,6.470,94.238,-44.006
0.054,1.255,0.325,16.357,129.517,-29.663
0.080,1.261,0.578,15.503,152.588,-8.728
0.149,1.068,0.924,13.794,160.706,12.146
0.269,0.923,1.121,9.460,150.757,30.396
0.416,0.849,1.160,2.563,129.700,44.556
0.518,0.752,1.183,-2.075,107.178,55.664
0.581,0.644,1.159,-0.305,86.365,62.744
0.621,0.510,1.116,2.869,68.604,67.627
0.612,0.472,1.003,2.258,54.565,69.885
0.564,0.473,0.909,-0.854,48.401,69.519
0.471,0.462,0.850,-2.563,51.270,64.697
0.371,0.371,0.859,11.658,60.425,52.917
0.285,0.268,0.892,27.527,68.237,38.330
0.238,0.180,0.940,28.198,73.181,24.231
0.267,0.144,0.999,19.226,74.951,11.108
0.331,0.139,1.017,12.390,72.449,-1.831
0.392,0.133,1.002,11.658,66.101,-14.709
0.452,0.176,0.949,13.428,55.908,-27.344
0.498,0.256,0.843,13.367,43.640,-38.086
0.530,0.308,0.739,8.484,31.311,-44.067
0.559,0.341,0.616,-0.305,20.630,-46.692
0.576,0.348,0.493,-8.362,12.573,-47.791
0.611,0.351,0.390,-11.841,8.667,-47.852
0.652,0.308,0.312,-10.803,10.803,-47.424
0.660,0.203,0.267,-6.165,20.691,-48.706
0.630,0.118,0.223,1.160,36.682,-54.077
0.591,-0.028,0.243,8.606,57.312,-63.538
0.556,-0.141,0.228,11.841,80.139,-77.271
0.578,-0.205,0.297,5.737,103.394,-95.093
0.678,-0.157,0.437,-8.545,123.962,-116.760
0.818,0.017,0.575,-27.100,137.329,-138.672
0.934,0.281,0.669,-49.133,140.869,-155.212
1.026,0.526,0.801,-72.876,135.620,-161.743
1.093,0.709,0.943,-91.187,123.047,-159.363
1.120,0.799,1.010,-97.473,103.088,-150.269
1.098,0.823,1.012,-93.689,81.116,-138.306
1.025,0.784,0.980,-82.397,61.462,-126.343
0.940,0.726,0.942,-68.176,46.875,-116.028
0.892,0.667,0.877,-52.490,37.354,-107.544
0.892,0.600,0.807,-36.560,34.119,-100.891
0.909,0.534,0.758,-20.813,36.743,-97.229
